label,message
spam,"Win a free iPhone now!"
ham,"Hey, are we meeting today?"
spam,"Claim your $1000 prize now!"
ham,"Don't forget the assignment."
spam,"Congratulations! You won a lottery."
ham,"Call me when you reach home."
promotion,"50% OFF on shoes today only!"
promotion,"Buy 1 Get 1 Free!"
scam,"Your bank account is blocked. Click now."
scam,"Urgent! Verify your ATM PIN immediately."
ham,"Let's play football tomorrow."
promotion,"Exclusive deals waiting for you."
spam,"You have been selected for a reward."
ham,"Can you send me the notes?"
